sku,description,name,web,preis,"eu-vn-kurse
",gewicht kg,vn-preis,kundenpreis,Posted
1561329355-90,"Height x Width = 26 x 18cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden weights
Wooden hands",Schwarzwaldtänzer 26cm,https://www.uhren-park.de/product_info.php/info/p18579_Trenkle--Schwarzwaldtaenzer-26cm--385-QM-HZZG.html,187,"26,5","3,5","5,502,725","6603,27",
1561329238-42,"Hight x Wifth = 30 x 31cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden hands
Hand carved figurines
Shut off lever",Fachwerkhaus 30cm,https://www.uhren-park.de/product_info.php/info/p8957_Engstler--Fachwerkhaus-30cm--40910-Q.html,190,"26,5","3,5","5,582,225","6698,67",
1561329056-5,"Hight x Wifth = 30 x 30cm

Black Forest house
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Decorative Black Forest House with many carved fir trees an two fawn",Schwarzwaldhaus 30cm,https://www.uhren-park.de/product_info.php/info/p509_Engstler--Schwarzwaldhaus-30cm--427-Q-ENGSTLER.html,190,"26,5","3,5","5,582,225","6698,67",
1561329025-3,"Height = 15,25''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Three hand-carved birds decorate this classic wood-carving. This motif was one of the very first ones, when the cuckoo clock was invented in 1738. While music is playing, the dancers are turning onto the balkonee.",Dreivogel 39cm,https://www.uhren-park.de/product_info.php/info/p558_Engstler--Dreivogel-39cm--632-QMT.html,191,"26,5","3,5","5,608,725","6730,47",
1561329884-138,"Height x Width = 41 x 27cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Wooden weights",KU Qz im Schwarzwald daheim 41cm,,199,"26,5","3,5","5,820,725","6984,87",
1561329764-127,"Height x Width = 41 x 27cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Wooden weights",Im Schwarzwald daheim 41cm,,199,"26,5","3,5","5,820,725","6984,87",
1561329340-83,"Height x Width = 21 x 21cm

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Handcarved grislies
Hand shingeld roof
Wooden hands",Tischuhr ''Bären'' 21cm,https://www.uhren-park.de/product_info.php/info/p17276_Trenkle--Tischuhr---Baeren---21cm--4203-QM.html,205,"26,5","3,5","5,979,725","7175,67",
1561329795-129,"Height x Width = 41 x 27cm
Front with mud-colored velor slip
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Solid wood
Wooden weights
Wooden hands",Velour 41cm,,206,"26,5","3,5","6,006,225","7207,47",
1561329749-126,"Height x Width = 41 x 27cm
Front covered with black velvet and embroidery
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Wooden weights
Wooden hands",Samt 41cm,,206,"26,5","3,5","6,006,225","7207,47",
1561329780-128,"Height x Width = 41 x 27cm
Front covered with petrol-colored fabric and embroidered deer
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Solid wood
Wooden weights
Wooden hands",Petrol mit Hirschen 41cm,,206,"26,5","3,5","6,006,225","7207,47",
1561329811-130,"Height x Width = 41 x 27cm
Front covered with felt and embroidered Black Forest hats
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Waterfall sound and echo in back while cuckoo's call
Solid wood
Wooden weights
Wooden hands",Filz mit Bollenhüten 41cm,,206,"26,5","3,5","6,006,225","7207,47",
1561329859-134,"Height x Width = 25 x 21cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands",Erzgebirge 25cm,,206,"26,5","3,5","6,006,225","7207,47",
1561329372-98,"Height x Width = 30 x 27cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden hands",Hühnerdieb 30cm,,207,"26,5","3,5","6,032,725","7239,27",
1561329374-99,"Height x Width = 40 x 24cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Dancing figurines
Wooden hands",Vogelmotiv 40cm,,209,"26,5","3,5","6,085,725","7302,87",
1561329312-70,"Height x Width = 30 x 26cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Biertrinker 30cm,https://www.uhren-park.de/product_info.php/info/p14393_Trenkle--Biertrinker-30cm--4215-QM.html,214,"26,5","3,5","6,218,225","7461,87",
1561329314-71,"Height x Width = 31 x 26cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Wanderer 31cm,https://www.uhren-park.de/product_info.php/info/p14397_Trenkle--Wanderer-31cm--4216-QM.html,217,"26,5","3,5","6,297,725","7557,27",
1561329350-88,"Height x Width = 22 x 27cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Wooden hands",Brotzeit 22cm,https://www.uhren-park.de/product_info.php/info/p17693_Trenkle--Brotzeit-22cm--4222-QM.html,218,"26,5","3,5","6,324,225","7589,07",
1561329300-64,"Height x Width = 39 x 35cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 39cm,https://www.uhren-park.de/product_info.php/info/p14152_Engstler--Schwarzwaldhaus-39cm--483-Q.html,220,"26,5","3,5","6,377,225","7652,67",
1561329352-89,"Height x Width = 28 x 23cm

Black Forest house
Hand made
Handcarved grislies
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Honigbär 28cm,https://www.uhren-park.de/product_info.php/info/p18364_Trenkle--Honigbaer-28cm--4201-QM.html,221,"26,5","3,5","6,403,725","7684,47",
1561329503-110,"Height x Width = 30 x 29cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Wooden weights
Wooden hands",Wanderer 30cm,,234,"26,5","3,5","6,748,225","8097,87",
1561329703-123,"Height x Width = 29 x 24cm
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands",Erzgebirge Fachwerkhaus 29cm,,238,"26,5","3,5","6,854,225","8225,07",
1561329734-125,"Height x Width = 27 x 27cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands",Schweinbauer 27cm,,238,"26,5","3,5","6,854,225","8225,07",
1561329009-2,"Height = 18''

Solid wood
Hand made
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Beautiful handcarved Cuckoo Clock with music. While the music plays the dancing figurines are dancing. If the Cuckoo calls you can hear an echo and the sound of a waterfall in back. The volume is adjustable. Automatic night shut off.",Dreivogel 46cm,https://www.uhren-park.de/product_info.php/info/p560_Engstler--Dreivogel-46cm--640-QMT.html,240,"26,5","3,5","6,907,225","8288,67",
1561329226-36,"Hight x Wifth = 30 x 28cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
To the music the wood chopper is moving his arm and the mill wheel is rotating

Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Wooden hands",Fachwerkhaus 30cm,https://www.uhren-park.de/product_info.php/info/p7095_Trenkle--Fachwerkhaus-30cm--468-QM-HZZG.html,246,"26,5","3,5","7,066,225","8479,47",
1561329626-118,"Height x Width = 33 x 28cn
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Wooden hands",Nudelholz 33cm,,253,"26,5","3,5","7,251,725","8702,07",
1561329256-49,"Hight x Width = 31 x 33cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Schwarzwaldhaus 31cm,https://www.uhren-park.de/product_info.php/info/p9489_Trenkle--Schwarzwaldhaus-31cm--478-QM-HZZG.html,253,"26,5","3,5","7,251,725","8702,07",
1561329718-124,"Height x Width = 29 x 29cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands",Hühnerfarm 29cm,,254,"26,5","3,5","7,278,225","8733,87",
1561329336-81,"Height x Width = 37 x 34cm

Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands
To the music the wood chopper is moving his arm and the mill wheel is rotating",Holzhacker 37cm,https://www.uhren-park.de/product_info.php/info/p17268_Engstler--Holzhacker-37cm--4661-QMT-HG.html,279,"26,5","3,5","7,940,725","9528,87",
1561329857-133,"Height x Width = 34 x 27cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands
To the music the wood chopper is moving his arm and the mill wheel is rotating",Holzhacker 34cm,,286,"26,5","3,5","8,126,225","9751,47",
1561329260-51,"Hight x Width = 30 x 32cm

Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
To the music the wood chopper is moving his arm and the mill wheel is rotating
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Holzhacker 30cm,https://www.uhren-park.de/product_info.php/info/p11632_Engstler--Holzhacker-30cm--4901-QMT.html,291,"26,5","3,5","8,258,725","9910,47",
1561329134-20,"Hight = 33cm

Black Forest house
Solid wood
Hand made
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies

To the music the wood chopper is moving his arm and the mill wheel is rotating
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Schwarzwaldhaus 33cm,https://www.uhren-park.de/product_info.php/info/p2665_Engstler--Schwarzwaldhaus-33cm--470-QMT-HZE-MG.html,296,"26,5","3,5","8,391,225","10069,47",
1561329157-25,"Hight x Wifth = 35 x 34cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies

To the music the wood chopper is moving his arm and the mill wheel is rotating
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Fachwerkhaus 35cm,https://www.uhren-park.de/product_info.php/info/p3638_Engstler--Fachwerkhaus-35cm--487-QMT-HZE-MG.html,296,"26,5","3,5","8,391,225","10069,47",
1561329359-92,"Height x Width = 33 x 31cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands
To the music the wood chopper is moving his arm and the mill wheel is rotating",Schwarzwaldhaus 33cm,,296,"26,5","3,5","8,391,225","10069,47",
1561329236-41,"Hight x Wifth = 29 x 37cm

Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden hands
Hand carved figurines
Shut off lever",Bayernhaus 29cm,https://www.uhren-park.de/product_info.php/info/p8959_Engstler--Bayernhaus-29cm--447-QMT-HG.html,299,"26,5","3,5","8,470,725","10164,87",
1561329268-55,"Hight x Width = 41 x 36cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 41cm,https://www.uhren-park.de/product_info.php/info/p11714_Engstler--Schwarzwaldhaus-41cm--4832-QMT.html,310,"26,5","2,5","8,605,875","10327,05",
1561329306-67,"Height x Width = 42 x 38cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Schwarzwaldhaus 42cm,https://www.uhren-park.de/product_info.php/info/p14204_Engstler--Schwarzwaldhaus-42cm--4512-QMT.html,306,"26,5","3,5","8,656,225","10387,47",
1561329376-100,"Height x Width = 34 x 36cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands
To the music the wood chopper is moving his arm and the mill wheel is rotating",Holzhacker 34cm,,308,"26,5","3,5","8,709,225","10451,07",
1561329266-54,"Hight x Width = 35 x 35cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
To the music the wood chopper is moving his arm and the mill wheel is rotating
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 35cm,https://www.uhren-park.de/product_info.php/info/p11716_Engstler--Schwarzwaldhaus-35cm--484-QMT.html,312,"26,5","3,5","8,815,225","10578,27",
1561329304-66,"Height x Width = 42 x 35cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
To the music the wood chopper is moving his arm and the mill wheel is rotating
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Schwarwaldhaus 42cm,https://www.uhren-park.de/product_info.php/info/p14191_Engstler--Schwarwaldhaus-42cm--4491-QMT.html,318,"26,5","3,5","8,974,225","10769,07",
1561329361-93,"Height x Width = 42 x 35cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands",Schwarzwaldhaus 42cm,,319,"26,5","3,5","9,000,725","10800,87",
1561329841-132,"Height x Width = 33 x 35cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands",Schwarzwaldhaus 33cm,,323,"26,5","3,5","9,106,725","10928,07",
1561329224-35,"Hight x Wifth = 35 x 35cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism

Cuckoo call to each full hour
Music work with 12 melodies
To the music the wood chopper is moving his arm and the mill wheel is rotating
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Tannenwald 35cm,https://www.uhren-park.de/product_info.php/info/p6615_Engstler--Tannenwald-35cm--473-QMT.html,323,"26,5","3,5","9,106,725","10928,07",
1561329128-17,"Hight x Wifth = 36 x 31cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
While the music is playing the rocking horse is moving

Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Fachwerkhaus 36cm,https://www.uhren-park.de/product_info.php/info/p2208_Engstler--Fachwerkhaus-36cm--4965-QMT-HZE-MG.html,324,"26,5","3,5","9,133,225","10959,87",
1561329367-96,"Height x Width = 36 x 39cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands
While the music is playing the railway is driving",Eisenbahn 36cm,,326,"26,5","3,5","9,186,225","11023,47",
1561329365-95,"Height x Width = 34 x 35cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands
To the music the beer drinkers are moving their arms and the mill wheel is rotating",Biertrinker 34cm,,330,"26,5","3,5","9,292,225","11150,67",
1561329426-105,"Height x Width = 34 x 36cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Handcarved grislies
Hand shingeld roof
Dancing figurines
Wooden hands
To the music the mill wheel is rotating",Schwarzwaldhaus 34cm,,341,"26,5","3,5","9,583,725","11500,47",
1561329173-26,"Hight x Wifth = 35 x 31cm

Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies

While the music is playing the rocking horse is moving
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Schwarzwaldhaus 35cm,https://www.uhren-park.de/product_info.php/info/p3703_Engstler--Schwarzwaldhaus-35cm--4775-QMT-HZE-MG.html,343,"26,5","3,5","9,636,725","11564,07",
1561329316-72,"Height x Width = 27 x 39cm

Solid wood
Hand made
Hand shingeld roof
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Wooden hands",Bierschänke 27x39cm,https://www.uhren-park.de/product_info.php/info/p14409_Trenkle--Bierschaenke-27x39cm--4210-QMT-HZZG.html,350,"26,5","3,5","9,822,225","11786,67",
1561329334-80,"Height x Width = 41 x 40cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands",Schwarzwaldhaus 41cm,https://www.uhren-park.de/product_info.php/info/p17265_Engstler--Schwarzwaldhaus-41cm--48110-QMT-HG.html,359,"26,5","3,5","10,060,725","12072,87",
1561329672-121,"Height x Width = 41 x 38cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden hands
To the music the Black Forest Lady moves the rolling pin and the mill wheel is rotating",Schwarzwaldhaus 41cm,,362,"26,5","3,5","10,140,225","12168,27",
1561329611-117,"Height x Width = 26 x 39cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands",Hühnerdieb 26 x 39cm,,366,"26,5","3,5","10,246,225","12295,47",
1561329880-137,"Height x Width = 30 x 31cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands
While the music is playing the railway turns around",Eisenbach 30cm,,366,"26,5","3,5","10,246,225","12295,47",
1561329252-47,"Hight x Width = 41 x 40cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
While the music is playing the rocking horse is moving
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Wooden hands",Schwarzwaldhaus 41cm,https://www.uhren-park.de/product_info.php/info/p9139_Engstler--Schwarzwaldhaus-41cm--4815-QMT.html,375,"26,5","3,5","10,484,725","12581,67",
1561329254-48,"Hight x Width = 44 x 41cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
To the music the wood chopper is moving his arm and the mill wheel is rotating
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Wooden hands",Tannenwald 44cm,https://www.uhren-park.de/product_info.php/info/p9140_Engstler--Tannenwald-44cm--499-QMT.html,406,"26,5","3,5","11,306,225","13567,47",
1561329132-19,"Hight x Wifth = 33 x 35cm

Black Forest house
Solid wood
Hand made
Handcarved children figurines on a moving seesaw while the music is playing
Hand shingeld roof
Dancing figurines

Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden weights
Wooden hands",Schwarzwaldhaus 33cm,https://www.uhren-park.de/product_info.php/info/p2350_Engstler--Schwarzwaldhaus-33cm--4746-QMT-HZE-MG.html,409,"26,5","3,5","11,385,725","13662,87",
1561329488-109,"Height x Width = 34 x 43cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden weights
Wooden hands",Pinocchio 34cm,,414,"26,5","3,5","11,518,225","13821,87",
1561329378-101,"Height x Width = 54 x 31
Table clock, also usable to hnag on the wall
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Dancing figurines
Wooden weights
Wooden hands",Stand / Tischuhr 54cm,,468,"26,5","3,5","12,949,225","15539,07",
1561329595-116,"Height x Width = 52 x 39cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Dancing figurines
Wooden weights
Wooden hands
To the music the wood chopper is moving his arm and the mill wheel is rotating",Schwarzwaldhaus 52cm,,478,"26,5","3,5","13,214,225","15857,07",
1561329863-135,"Height x Width = 42 x 37cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden weights
Wooden hands
To the music the wanderer is moving his stick and the mill wheel is rotating",Schwarzwaldhaus 42cm,,478,"26,5","3,5","13,214,225","15857,07",
1561329826-131,"Height x Width = 50 x 51cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Black Forest house
Solid wood
Hand made
Hand shingeld roof
Wooden weights
Wooden hands
While the music is playing both railways rotates",Eisenbahn 50cm,,482,"26,5","3,5","13,320,225","15984,27",
1561329320-74,"Height x Width = 50 x 50cm

Black Forest house
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",Schwarzwaldhaus 50cm,https://www.uhren-park.de/product_info.php/info/p16823_Engstler--Schwarzwaldhaus-50cm--48912-QMT.html,492,"26,5","3,5","13,585,225","16302,27",
1561329878-136,"Height x Width = 46 x 46cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Dancing figurines
Wooden weights
Wooden hands",Almhaus Wanderer 46cm,,494,"26,5","3,5","13,638,225","16365,87",
